,local,visitor,travel,q,mobility,total,visitor/mobility,travel/mobility,visitor/total,travel/total,local/total,mobility/total,out visitor,out travel,out mobility
Kabe,0.17986473118398144,0.021474228755721886,0.07326138902909349,0.263,0.09473561778481537,0.2746003489687968,0.22667534405590656,0.7733246559440934,0.07820175333485112,0.2667927746785867,0.6550054719865622,0.34499452801343783,0.16688586079904547,0.08490054398706348,0.25178640478610886
Katima Muliro Rural,0.13981702122074616,0.06598464602524987,0.06078586324230847,0.263,0.12677050926755834,0.2665875304883045,0.5205047010262023,0.4794952989737976,0.24751587557147456,0.22801465293957254,0.5244694714889527,0.4755305285110471,0.11810153588271168,0.2766390661777666,0.3947406020604783
Katima Muliro Urban,0.2525560723822796,0.04813702124934132,0.03526655935837542,0.39,0.08340358060771674,0.33595965298999636,0.5771577299031158,0.4228422700968843,0.14328214957042673,0.10497260324121578,0.7517452471883574,0.24825475281164253,0.41546824961676265,0.821344218316846,1.2368124679336086
Kongola,0.15442703357494184,0.04516926157330436,0.06942646672444897,0.263,0.11459572829775333,0.26902276187269514,0.39416182648572523,0.6058381735142747,0.1679012632941409,0.25806911742770083,0.5740296192781583,0.4259703807218418,0.08639042363393998,0.10304708967134488,0.18943751330528474
Linyandi,0.1737961168771777,0.04275688821642208,0.05611167432690015,0.263,0.09886856254332224,0.27266467942049993,0.4324619182936625,0.5675380817063375,0.1568112463531918,0.2057900364878777,0.6373987171589305,0.3626012828410695,0.06520472118943886,0.09922655377744619,0.164431274966885
Sibinda,0.1793653200396313,0.024813654185147783,0.0695497844774317,0.263,0.09436343866257949,0.2737287587022108,0.2629583505734178,0.7370416494265821,0.09065051952448493,0.2540828548932077,0.6552666255823072,0.34473337441769264,0.14283576429560071,0.085282160433633,0.2281179247292336
Arandis,0.0767384735388378,0.038958468808457096,0.0327447413647338,0.147,0.0717032101731909,0.1484416837120287,0.5433294927013361,0.4566705072986638,0.26244965587991487,0.22058993502295063,0.5169604090971345,0.48303959090286547,0.08118226557343469,0.16728770378565597,0.2484699693590907
Daures,0.08590610953610933,0.010974439997510323,0.03205058393479004,0.125,0.04302502393230036,0.12893113346840968,0.2550710957134747,0.7449289042865254,0.08511861877177437,0.24858684688941307,0.6662945343388127,0.3337054656611874,0.12859250266868488,0.06952674590408431,0.19811924857276916
Karibib,0.09159539838338884,0.026014889066667907,0.025236676908997047,0.14,0.05125156597566495,0.1428469643590538,0.5075920817525885,0.4924079182474116,0.18211719922362532,0.1766693259617562,0.6412134748146184,0.3587865251853815,0.08812414384746255,0.18117016905987327,0.26929431290733585
Omaruru,0.0927451063326784,0.023957883128962562,0.025661588746607105,0.141,0.04961947187556967,0.14236457820824808,0.4828322878776611,0.5171677121223389,0.16828542205152638,0.1802526237184494,0.6514619542300242,0.3485380457699758,0.06372412385961149,0.11944611664960196,0.18317024050921346
Swakopmund,0.10152026718315317,0.01843959534008275,0.02989798455812605,0.147,0.048337579898208805,0.14985784708136196,0.38147535269480976,0.6185246473051902,0.12304724576799361,0.19950896893569817,0.6774437852963083,0.32255621470369183,0.394055120213062,0.3695250328185972,0.763580153031659
Walvisbay Rural,0.08343684536222053,0.004506289319081122,0.0639828288841184,0.147,0.06848911820319951,0.15192596356542004,0.06579569772984181,0.9342043022701583,0.029661087633258237,0.4211447956791604,0.5491941166875813,0.45080588331241866,0.30113949844174837,0.036559878334639695,0.3376993767763878
Walvisbay Urban,0.09149598374588734,0.035704171944248256,0.02669554101062834,0.147,0.0623997129548766,0.15389569670076395,0.57218487479369,0.4278151252063101,0.2320024062379843,0.1734651558356136,0.5945324379264021,0.40546756207359785,0.20975670582114259,0.4739465399586696,0.683703245779812
Gibeon,0.06975920369558244,0.020973312417496247,0.02800919751641273,0.11,0.04898250993390898,0.11874171362949143,0.4281796185167946,0.5718203814832055,0.17662969293957692,0.23588338638778236,0.5874869206726406,0.4125130793273593,0.057934494294033086,0.08337904240755914,0.14131353670159236
Mariental Rural,0.05102015124475369,0.054107843726667396,0.03460199413899876,0.109,0.08870983786566616,0.13972998911041984,0.6099418624640395,0.3900581375359604,0.38723143164284773,0.24763470146451508,0.36513386689263727,0.6348661331073628,0.06255277057890529,0.21247418065573007,0.2750269512346355
Mariental Urban,0.06269843158111013,0.014331712909407261,0.023516477399755042,0.085,0.037848190309162304,0.10054662189027244,0.3786630957078504,0.6213369042921496,0.14253798526466266,0.23388630028186144,0.6235757144534758,0.3764242855465241,0.09236934311367465,0.10483940610746237,0.19720874922113693
Rehoboth Rural,0.08437927898684949,0.012756395934219173,0.024125262860684792,0.12,0.03688165879490397,0.12126093778175345,0.3458737039230393,0.6541262960769607,0.10519789940251205,0.1989532928081561,0.6958488077893319,0.30415119221066816,0.0758748356732728,0.06477356472645478,0.14064840039972762
Rehoboth West,0.05137261638804022,0.019014272534258653,0.024717212762402616,0.075,0.043731485296661265,0.09510410168470149,0.43479594633641044,0.5652040536635896,0.19993115120625027,0.2598963906346286,0.5401724581591212,0.4598275418408788,0.03889654956790191,0.08215464217124611,0.12105119173914805
Berseba,0.10838519750596898,0.01924205205417029,0.029648522055471267,0.165,0.04889057410964155,0.15727577161561052,0.3935738617226756,0.6064261382773245,0.12234593959709689,0.18851296516245153,0.6891410952404518,0.31085890475954836,0.14276830405040836,0.12583225961193703,0.26860056366234525
Karas,0.10230781877969264,0.03468965918530548,0.02934727092397301,0.16,0.0640369301092785,0.16634474888897113,0.5417133383206825,0.4582866616793175,0.20854075296635616,0.17642439043002922,0.6150348566036146,0.38496514339638543,0.1198813049450603,0.24039411286204707,0.36027541780710726
Keetmanshoop Rural,0.11633887576168184,0.013779658206741908,0.027730769072077357,0.161,0.04151042727881926,0.1578493030405011,0.3319565494757746,0.6680434505242255,0.08729628792346529,0.1756787552299941,0.7370249568465407,0.2629750431534594,0.07288542607540417,0.052525314305705825,0.12541074038110994
Keetmanshoop Urban,0.09844650712024754,0.020413384112254136,0.02791932896528202,0.143,0.04833271307753616,0.1467792201977837,0.42235129816748834,0.5776487018325117,0.1390754364599245,0.19021308961623432,0.6707114739238411,0.3292885260761588,0.18718588198251937,0.2415182657224126,0.4287041477049322
Luderitz,0.11289470344956946,0.015642847927827178,0.02244934978139181,0.145,0.03809219770921898,0.15098690115878843,0.41065753273776934,0.5893424672622307,0.10360400675669248,0.14868408854740647,0.7477119046959011,0.25228809530409896,0.06074629109468344,0.07335040886595215,0.13409669996063558
Oranjemund,0.10320515229872455,0.01903838240123451,0.036095194350760175,0.157,0.055133576751994685,0.15833872905071925,0.3453137547537349,0.6546862452462652,0.12023831765844295,0.22796187999714285,0.6517998023444141,0.3482001976555858,0.06998381595756192,0.07425509734602692,0.14423891330358887
Kahenge,0.12374305462697562,0.015850826721192455,0.038073494367110675,0.171,0.053924321088303126,0.17766737571527874,0.293945781815892,0.7060542181841081,0.0892163046669538,0.21429648641923682,0.6964872089138094,0.30351279108619056,0.21103125746823945,0.1323685771510678,0.3433998346193074
Kapako,0.1058423631157366,0.024747367603430052,0.056167174073452016,0.171,0.08091454167688207,0.18675690479261867,0.3058457366322891,0.6941542633677109,0.13251112525617398,0.30075018717954227,0.5667386875642837,0.43326131243571625,0.15947743655777788,0.11619740902441467,0.27567484558219246
Mashare,0.1131755814168336,0.016591235302881906,0.051791778056795565,0.171,0.06838301335967747,0.1815585947765111,0.24262217307705022,0.7573778269229497,0.09138226324842857,0.2852620561452817,0.6233556806062895,0.37664431939371035,0.19386806628830106,0.09215481775345523,0.28602288404175613
Mpungu,0.12586941328376963,0.025467097117414836,0.029907794931842695,0.174,0.05537489204925753,0.18124430533302716,0.45990332757237945,0.5400966724276206,0.14051253676975034,0.16501370830321344,0.6944737549270362,0.3055262450729638,0.0645633819672711,0.08244650732382061,0.1470098892910917
Mukwe,0.13796698564928717,0.013061054240827118,0.025903685193554436,0.171,0.03896473943438156,0.17693172508366872,0.33520188843614734,0.6647981115638526,0.07381974168086992,0.1464049772945181,0.779775281024612,0.22022471897538803,0.14796289775087612,0.10644146711365725,0.25440436486453333
Ndiyona,0.10912320854330816,0.03900683880866131,0.029455873995159306,0.171,0.06846271280382062,0.17758592134712878,0.5697530409061514,0.43024695909384847,0.2196505134684314,0.16586829502988387,0.6144811915016848,0.38551880849831527,0.049888054346071305,0.1270228605164355,0.17691091486250685
