,Kabe,Katima Muliro Rural,Katima Muliro Urban,Kongola,Linyandi,Sibinda,Arandis,Daures,Karibib,Omaruru,Swakopmund,Walvisbay Rural,Walvisbay Urban,Gibeon,Mariental Rural,Mariental Urban,Rehoboth Rural,Rehoboth West,Berseba,Karas,Keetmanshoop Rural,Keetmanshoop Urban,Luderitz,Oranjemund,Kahenge,Kapako,Mashare,Mpungu,Mukwe,Ndiyona,Rundu Rural East,Rundu Rural West,Rundu Urban,Windhoek Rural,Windhoek West,Epupa,Kamanjab,Khorixas,Opuwo,Outjo,Sesfontein,Eenhana,Endola,Engela,Epembe,Ohangwena,Okongo,Omulonga,Omundaungilo,Ondobe,Ongenga,Oshikango,Aminius,Epukiro,Gobabis,Kalahari,Otjinene,Otjombinde,Steinhausen,Anamulenge,Elim,Etayi,Ogongo,Okahao,Okalongo,Onesi,Oshikuku,Otamanzi,Outapi,Ruacana,Tsandi,Okaku,Okatyali,Ondangwa,Ongwediva,Oshakati East,Oshakati West,Uukwiyu,Uuvudhiya,Engodi,Guinas,Okankolo,Olukonda,Omuntele,Omuthiyagwipundi,Onayena,Oniipa,Onyaanya,Tsumeb,Grootfontein,Okahandja,Okakarara,Omatako,Otavi,Otjiwarongo,Tsumkwe
Kabe,0.755348041497,0.1146772367,0.110369427494,0.00215003299027,0.00189246120945,0.00200329987574,6.25642644894e-06,7.42506066801e-06,5.8338159144e-05,8.57848961533e-05,0.000345638500006,1.09628605559e-06,0.000161846400173,2.82313428286e-06,4.4773808673e-05,8.45820302908e-05,4.86952727296e-06,8.08292717964e-05,4.36167495504e-05,0.00349087939081,2.48763516096e-05,2.5917021916e-05,5.76407718966e-05,0.000150627535246,4.68971891788e-05,1.47765839733e-05,0.000124421512562,5.61771258559e-06,0.000159413493748,0.000110294746319,4.11865534035e-05,6.20279772895e-06,0.00099780176434,0.000160198627935,0.0041037779903,0.0,2.20659902446e-06,6.78111146861e-05,8.08988932588e-06,5.76033427516e-07,0.0,1.70164044962e-06,2.01960306361e-07,6.00039813867e-06,4.71517803553e-05,9.38533640674e-08,4.67725345663e-05,6.63173734472e-07,2.85475403934e-07,2.47119343997e-07,1.74376046936e-05,6.61448108751e-05,0.0,1.46837619538e-05,0.000179224286605,7.05296151061e-06,0.0,0.0,6.66379467699e-05,9.77574607621e-07,1.00320018251e-05,1.09581796516e-05,1.47835989348e-06,3.3814818232e-07,0.000101678138196,0.0,9.30416561591e-07,4.35893105456e-05,1.39812992334e-07,1.99561635238e-05,2.63344536934e-09,6.08848577476e-05,6.85436595804e-06,0.000330672455634,8.42082406254e-06,0.000413076093057,6.00160548786e-06,3.56432331543e-06,1.21148570473e-07,1.85312977123e-05,0.0001338925931,3.53311942065e-07,4.80832261815e-07,1.58303082574e-05,9.41672282935e-06,1.08199051446e-06,3.51676481269e-07,1.16609807892e-06,0.000307811478358,0.000368517142047,0.000328248670582,6.32464455525e-05,0.000144478537902,2.6042430576e-05,0.000138981046296,0.0
Katima Muliro Rural,0.0523845129376,0.780597436346,0.0875751355083,0.00349585216907,0.00288050305679,0.00800956422403,5.53639633811e-05,4.72950411166e-05,0.000631675085549,0.000138241760517,0.000412568830152,8.35058166524e-06,0.000935861727643,0.000158083498566,0.000210483705526,0.000228072284052,6.1075580779e-06,2.42654503853e-05,7.95874686447e-05,0.00215903509213,8.96300782545e-06,0.000151803143658,7.20389808427e-05,0.000183969209384,0.00765968893052,0.0129530700765,0.000161344564699,0.00106119712813,0.00168199511306,0.000387385636729,0.000465703594312,0.000737530785426,0.0150290002637,0.000836316720934,0.00882507849893,0.000103991138192,4.14874864484e-05,0.000164305741013,9.40663905064e-05,0.000129785333675,6.66945905065e-06,0.000150847795571,6.3098271408e-05,4.61056146657e-05,2.77744256658e-05,4.3704194483e-05,0.000100447849909,1.31479386277e-05,1.53638557667e-08,0.000106053516539,3.41831563567e-05,6.72661014275e-05,2.27268230081e-05,5.6392079645e-07,0.000275980852479,0.000405464361939,2.83739179621e-05,3.78740096746e-08,9.63269463517e-05,4.07818568332e-05,1.73421528894e-05,0.000260689303428,5.2554798361e-05,7.74913525682e-05,0.000247298813171,2.57106953849e-05,8.21246700093e-05,1.20881424314e-05,0.000345800331445,5.11119423726e-05,0.000102337412004,1.7220462352e-05,1.52859239718e-05,0.000838618933616,7.34405121439e-05,0.000884745020768,8.33491263976e-06,2.04459088791e-05,2.79149706908e-05,2.19102077377e-05,0.000133539904681,2.94240418362e-07,9.15343622496e-07,1.17282152727e-05,0.000108290900238,3.81228902789e-05,1.02482540341e-05,2.1687643855e-05,0.000259172195253,0.00160053339528,0.000548567888482,0.000135871371982,0.000336977417946,0.000671959199247,0.000518102143499,0.000105234253947
Katima Muliro Urban,0.0179981813784,0.0343763870994,0.845410135012,0.0157346249723,0.015505313866,0.0129980519946,0.000344062315255,4.20795646177e-05,0.000375948186141,0.000333172877841,0.00128716030492,8.43417142519e-05,0.0024023449186,0.000129965674777,0.000182105353654,0.000242753683419,7.4914439234e-05,0.000339116581486,0.000178877950761,0.00251393794182,0.00011055069617,0.000332037354045,0.000239117594313,0.000404374734182,0.000515441605991,0.000266001669037,0.000248101536947,0.000311612827781,0.00270342057643,0.000583511161153,0.000192078034124,0.000151804896056,0.00607382392993,0.000693212938075,0.0157282250301,4.5700449091e-05,6.35102973672e-05,9.14349781357e-05,0.000188024469646,0.000214971534646,0.000106770050244,0.000336377918132,0.000207955431516,0.000219414036004,5.71326211267e-05,0.000215407950674,0.0002531250655,8.86276278401e-05,3.79320083857e-05,0.000144670351508,0.000122101276719,0.000568643207546,1.69808740313e-05,1.72678934533e-05,0.00043668153258,0.000519008300134,2.60416674932e-05,2.71844648062e-05,8.62007686136e-05,0.000191696003749,0.000183211562494,0.000351333362719,0.000137742691699,0.00013018197752,0.000402147427093,8.6031709241e-05,9.23050454128e-05,6.68545908076e-05,0.000528470033259,0.00022423186272,0.000156026397493,0.0001537048433,4.81428523462e-05,0.00250941710726,0.000144411593251,0.00254208777411,7.03840786497e-05,3.69958259862e-05,5.87737179799e-05,9.5616403088e-05,0.000249884761591,7.17185391289e-06,2.88640944059e-05,0.000306850195774,0.000339909250301,0.000121179221604,6.77428158488e-05,0.000114134544603,0.00111316522056,0.00226254173116,0.00134005880871,0.000248883601916,0.000372708279865,0.000641773055973,0.0013346631552,4.27473597996e-05
Kongola,0.00203811241716,0.00934281081552,0.101155628191,0.74704685928,0.0305789935551,0.0221804883549,0.000294231718133,1.0072840354e-05,0.000143422601771,0.000449754634418,0.000317820336503,0.000136888684052,0.000628471589205,3.72477771219e-05,0.000263207510936,0.000470851658778,1.36525986597e-05,0.000281214739718,8.43176051702e-05,0.00287172304909,2.3936066401e-05,0.000277751867809,7.12910905443e-06,8.52138373759e-05,0.000645345407377,0.000475520716984,0.000445326280167,0.00135186995096,0.0100800111058,0.000754676339832,0.000309759279625,0.000185290799914,0.0194562467598,0.00110484138598,0.00950232104903,3.8227481648e-05,7.65514758618e-05,2.39028789885e-05,0.000518143357613,8.7610154112e-05,5.47481901632e-05,0.000575811703013,0.000526565966512,0.000430229294327,0.000112441374936,0.000478264499791,0.000312716226533,0.000216398030062,0.000215228207813,0.000457580646998,0.000393570591824,0.000660889145072,7.46525032567e-05,7.03583340636e-05,0.000222796844028,0.000433330817544,2.39667556555e-05,0.0,1.66846838329e-05,0.000350167035854,0.000273495212779,0.000810067714198,0.00022912846181,0.000456205081722,0.000292613933054,0.000472157097876,8.92153142705e-05,5.79087548899e-05,0.00239937974073,0.00104240663663,0.000564088255013,0.000482314504429,2.48866790524e-05,0.00503931266734,0.000357963273433,0.00501393265169,0.00020448459259,6.01347875755e-05,3.01574642592e-05,0.000184869472445,0.000757207430357,0.000210179140916,4.2252084907e-05,0.000498884022964,0.000559528208423,0.00056807550887,0.000218029206889,0.000498923130116,0.000414119698036,0.00450770752538,0.0022718179499,0.000442751137138,0.000367381161312,0.000299840835497,0.000808374854569,2.83596949199e-05
Linyandi,0.0021488993412,0.00728830526353,0.0951317442901,0.0203816011015,0.809274313513,0.0333795544233,0.000207977146169,3.18909395317e-05,4.01617347436e-05,0.000253227239739,0.00030340777889,1.61060518338e-05,0.000889626006697,0.00014661368815,5.57168175208e-05,0.00021808502837,3.21756544459e-05,9.9314244048e-05,4.57099811705e-06,0.0045815900483,2.26603859649e-05,0.000312794344428,7.99885329651e-05,0.000137868200441,7.37971389872e-05,0.000291304853826,6.92016416746e-05,6.66076239688e-05,0.00382054998798,0.000260676348129,3.6306294091e-05,0.000143969995954,0.00376342433099,0.000323456441665,0.00741565137705,4.08144893616e-06,2.40331808407e-05,8.80134719587e-05,6.13758417245e-05,2.07797797382e-05,9.34668098708e-05,0.000236804642196,0.000134403448773,0.000109803315229,4.65962319167e-05,4.81481466868e-05,1.25800317687e-05,3.4943151373e-05,4.75303662387e-05,4.43682046169e-05,5.19945945088e-05,7.94849202691e-05,1.35569704616e-07,9.70103787505e-06,0.00020333655562,3.70015891118e-05,1.11617592347e-05,5.84197121615e-05,6.7081377224e-05,7.14586132435e-05,1.39625898481e-05,5.06644118276e-05,3.05872926744e-06,4.05392273173e-05,2.12032209745e-05,6.8484142435e-05,6.67397345066e-06,3.56990306154e-05,0.000432783941273,0.000118436447045,8.86092777308e-05,1.93212548834e-05,5.67217498041e-05,0.00127469092515,4.96965588963e-05,0.000752765471662,3.22929892914e-06,0.0,5.39885546383e-05,6.64575035997e-05,0.000179454245899,2.32102007327e-06,9.19097539354e-06,0.00016195694275,0.000145389867711,3.16338771251e-05,6.83324783942e-05,3.80235544977e-05,0.000595365143295,0.00112212910464,0.000435646404184,4.57859940866e-05,0.000119337016856,0.000169066059789,0.000692753102799,0.000126785294818
Sibinda,0.00216941636488,0.0318931000267,0.105262340144,0.0414051532125,0.0321555278428,0.765622762041,0.000178833431411,9.49324934376e-06,0.000225259117005,7.35348467e-05,0.000458819366745,1.55812331867e-05,0.000483002947595,4.31380932305e-06,4.78417657098e-05,5.02919491147e-05,2.23264513038e-06,3.59621404132e-05,3.24696460127e-05,0.0052621617084,7.142696229e-06,3.03089848796e-05,0.000147714296801,2.11829557397e-05,0.000107275410184,8.92034831316e-05,2.3373951366e-05,8.78312653324e-06,0.000921606920633,7.56077057116e-05,3.22622710364e-05,2.77747410963e-05,0.00136099692994,0.000271872934862,0.00567847255103,1.69864120764e-05,1.08345557855e-06,6.49241459391e-05,3.93600114532e-05,5.83752480999e-06,6.38410969966e-07,6.61223617337e-05,1.30596734436e-05,1.36848137644e-05,2.36582972245e-05,0.000133410862116,1.355895092e-05,8.67106188217e-07,2.5969692743e-05,5.04172009341e-05,0.0,4.49607525512e-05,0.0,0.0,0.000132344789816,0.000144561072911,1.41447877264e-06,0.0,5.81392071312e-06,1.5088016477e-06,2.82427628744e-06,2.42554585974e-05,9.55262854759e-07,4.29598515952e-07,2.6400755231e-06,1.53188882134e-07,2.66188811137e-06,0.0,8.80272707537e-05,8.40879710708e-07,8.74288470591e-07,2.54807734643e-05,2.77816410323e-07,0.00114916374901,0.000153860330542,0.000494981936457,2.91239819346e-08,1.84010322835e-06,0.000116870861885,3.14108463035e-06,2.31912088965e-05,0.0,2.46693485842e-06,5.92531875123e-05,0.000103460641847,3.63491790962e-06,1.5879197774e-07,6.45934126689e-05,0.000319894664093,0.00106041693992,0.000606819079348,8.91470033102e-05,8.27036823254e-05,0.000242817122683,0.000280275261713,0.0
Arandis,3.08596799896e-05,0.000164048421114,0.000717730149385,0.000101849455529,6.6912690317e-05,0.000113364327851,0.786550796885,0.012692617479,0.0114267611144,0.00219760122525,0.0535265624072,0.00213071172944,0.0175387328601,0.000843783676353,0.000629419948626,0.000699995643989,0.000400614882196,0.0015122856531,0.00350035530333,0.00162263390012,0.000208857597819,0.00113195376215,0.000652941659022,0.00127874994968,0.000191253053422,6.00336070688e-05,4.89025589751e-05,8.6333076389e-05,0.00033079502659,0.000126406072078,5.64644422583e-05,1.99216762821e-05,0.000845538576708,0.00260246148219,0.0244359709601,7.34270937109e-05,0.00141220162203,0.00448907756219,0.000576972646216,0.00176013111611,0.000986369477485,0.000756383886513,0.00141716468406,0.00108561855526,0.000165845244552,0.00121750712631,0.000360031874022,0.000561547828214,9.4692646025e-05,0.00142340300424,0.000829527175594,0.00121464987884,0.000316280006958,6.24119769942e-05,0.00129126132327,0.00121396700048,0.000187875356071,8.1612889795e-05,0.000459443576527,0.000470276003893,0.00180379161154,0.00232622661346,0.000826135438801,0.00111333999921,0.00220497176995,0.000616744824092,0.000600283819965,0.00056195863123,0.00233605235123,0.000797198621459,0.00126423909501,0.00113253587989,0.000109200024512,0.00309984759212,0.00079855257597,0.00620175514346,0.000650911353683,0.000160141019421,7.3621458965e-05,0.000499542265585,0.00046249729117,9.00765085898e-05,0.000320564732989,0.00220047178486,0.00178370038014,0.00122767079594,0.00024667459031,0.00118504625668,0.0021730498183,0.00118714756543,0.00305588282631,0.00108695507367,0.00150134606742,0.00109730555514,0.00409611222438,5.65479510962e-05
Daures,3.74742616297e-05,0.00017005420832,0.00061387792176,1.13941208509e-05,3.52059421132e-05,4.31944736936e-06,0.013417764266,0.769885751609,0.0433242913659,0.0380962589856,0.0163137013797,0.000505688455233,0.0141146351259,0.000152931168596,0.000324973711352,0.000200347401087,0.000261843448342,0.000263718301972,0.000663548152787,0.0001476693304,1.18459874076e-05,0.000137863807174,0.000128930966646,0.000224571516009,0.000127496316203,5.23450543569e-05,4.92030830711e-05,3.74983037161e-05,0.00030517091233,1.29250095053e-05,9.57455341508e-05,7.44493711196e-06,0.000397101680797,0.00157204476516,0.027242114557,2.21171264223e-05,0.00207644087695,0.0286371162764,0.00125570584232,0.00257163123987,0.0013918134364,0.00034169467608,0.000505033575639,0.000151733565606,2.81261024996e-05,0.000295650638341,0.000123079051609,0.000129219876264,1.54673611185e-05,0.000670247849273,0.000237955006494,0.000460690795407,0.000572621121843,0.000136149239917,0.000396519229242,0.000276565550586,0.000367590711914,4.92629769571e-05,0.000147565560583,8.13715712263e-05,0.000452651862669,0.0012870158156,0.000196139638618,0.000406831683773,0.000726636470285,0.000218919611771,4.87020779453e-05,0.000193344694353,0.00146634269439,0.000881486436392,0.000267838788572,5.74383900015e-05,3.27367338658e-05,0.00102239645253,0.000206558009423,0.00287495673127,0.000197539992086,5.89781984169e-05,2.41849198085e-05,0.000193484017616,0.000316312242476,7.44518658243e-05,1.05330695932e-05,0.000646235204721,0.000600204741283,5.48482166923e-05,6.29436735005e-05,0.000198547814471,0.000825810205043,0.000290114542526,0.0029739575901,0.00237386894059,0.00338163370615,0.000965696611263,0.00648153499084,4.00030723832e-05
Karibib,3.1461038021e-05,0.000270178876748,0.000647036327166,1.45098865129e-05,5.34225762832e-05,9.55449203674e-06,0.00670309295836,0.00888566999687,0.831849446355,0.0116877088674,0.0150296030218,0.000569307805925,0.0111598931351,0.000498195335551,0.000347750652418,0.000619140924329,0.000361683288625,0.00160895968394,0.000513915088529,0.000786697232569,9.57254044197e-05,0.00102996127335,0.000444396167512,0.000487997289807,0.000609884102017,0.000693855823067,0.000143386469991,0.000319662842111,0.000471216684702,0.000252125188603,0.000331264493766,0.00013048953697,0.00288601175009,0.0105726862089,0.0322563190214,5.57535596632e-05,0.000711137470479,0.00244957993071,0.00075082304274,0.00128435576963,0.000842007677777,0.000701950036653,0.000672112891884,0.000662126988143,0.000251680156712,0.000724856839443,0.000451491565579,0.000425805410066,5.5799862002e-05,0.000840962059568,0.00055949677235,0.000748020204894,0.000162372389084,4.80129025539e-05,0.00102917340808,0.000677283585082,0.000317472262433,3.34702229463e-05,0.000315259746732,0.000426154535302,0.000346378231551,0.0010994192028,0.000293692536386,0.000570614277287,0.0013610359929,0.00029505648724,0.000179533682672,0.00016871897313,0.00173135611495,0.000344606795084,0.000409249403378,0.000719827362775,9.12192834865e-05,0.00227432241185,0.000466676539783,0.00301357107741,0.000105072017773,0.000129051959597,6.06307672675e-05,0.000307961467274,0.000595940033704,0.000160185364945,0.000118163727963,0.00119616185587,0.00141201682998,0.000681359437498,0.000405227372081,0.000685082158442,0.00159254124142,0.00149507990186,0.0117324264358,0.000769753441455,0.00165443053567,0.00140396967105,0.0043972296839,0.000163068632958
Omaruru,0.00016665160675,0.000339907067535,0.000918608935286,0.000138034588789,0.000211072239486,1.0036640846e-05,0.00301430305898,0.0135194108151,0.0230315920441,0.826226215956,0.0108023540515,0.000485580673424,0.00828270507735,0.000315451717325,0.000459192882282,0.000611809461786,0.000439589747564,0.000862135657381,0.00020984137329,0.00100510174176,6.80445092708e-05,0.00068917094127,0.000183971659312,0.000267644049473,0.000387439247914,0.000356890809021,0.00029492555713,9.99231707331e-05,0.000347587847063,0.000868296963531,0.000260889954995,0.000185376222211,0.00189667046593,0.00357143390356,0.025023052231,8.2620792578e-05,0.00129687664208,0.00608037465033,0.00113297979638,0.00270013236554,0.000762383037302,0.00104292092523,0.000913329083737,0.000637003200485,6.7286869951e-05,0.00105348532649,0.000201880053326,0.000552522428241,0.000117152209892,0.00112088777805,0.000579035267662,0.000972981185116,0.000108603680042,9.26977579645e-05,0.000657979423607,0.000584753777865,0.000100132387757,3.75692817173e-05,0.000222139023612,0.000327379872765,0.000507632356803,0.0012553307006,0.000340739295944,0.000699439353859,0.00191523531137,0.000215578442395,0.00020480006727,9.70149407763e-05,0.0013463802115,0.000499871764315,0.000386531229656,0.000248363316125,0.000151699418585,0.00172385507712,0.000407542760825,0.00289293505149,6.30981739324e-05,0.000161142826818,0.000217753507992,0.000663531001096,0.000308811921528,0.000145341571459,0.000115067888026,0.000624443836412,0.000936181167413,0.000693797720211,0.000332273037355,0.000489868668236,0.00142946271648,0.00151611940905,0.00959231287887,0.00158941732328,0.0111058804432,0.00111478431681,0.00899287949357,1.88631131844e-05
